/Use:<crop>=<parent1>+<parent2>,<chance to mutate>
/chance to mutate: 0.1 means 10%
beast=illager+witch,0.1
blaze=creeper+lava,0.1
chicken=beetroots+cactus,0.1
coal=netherrack+chorus,0.1
cow=carrot+potato,0.1
creeper=pig+coal,0.1
dancium=plantium+fish,0.1
diamond=quartz+enderdragon,0.1
dirt=melon+pumpkin,0.1
drowned=stray+husk,0.1
emerald=diamond+wither,0.1
enderdragon=enderman+shulker,0.1
enderman=wither_skeleton+netherrack,0.1
endstone=coal+chorus,0.1
fish=cactus+sugarcane,0.1
ghast=magma_cube+blaze,0.1
glowstone=soulsand+netherrack,0.1
gold=coal+lapis,0.1
guardian=ghast+witch,0.1
husk=zombie+lava,0.1
illager=villager+witch,0.1
iron=redstone+gold,0.1
kanekium=plantium+squid,0.1
kinnoium=plantium+pig,0.1
lapis=stone+coal,0.1
lava=stone+water,0.1
lenthurium=plantium+chicken,0.1
magma_cube=slime+lava,0.1
mooshroom=cow+mushroom,0.1
mycelium=netherrack+mooshroom,0.1
netherrack=endstone+nether_wart,0.1
panda=beetroots+mushroom,0.1
parrot=wheat+cocoa_bean,0.1
pig=beetroots+carrot,0.1
polarbear=cow+panda,0.1
prismarin=soulsand+water,0.1
quartz=netherrack+iron,0.1
redstone=gold+glowstone,0.1
sand=mushroom+cactus,0.1
sheep=potato+wheat,0.1
shulker=blaze+endstone,0.1
skeleton=pig+cow,0.1
slime=creeper+zombie,0.1
snow=polarbear+water,0.1
soulsand=sand+netherrack,0.1
spider=sheep+squid,0.1
sponge=mycelium+guardian,0.1
squid=nether_wart+vine,0.1
stone=wheat+mushroom,0.1
stray=skeleton+snow,0.1
turtle=squid+fish,0.1
villager=polarbear+turtle,0.1
water=vine+sugarcane,0.1
witch=villager+soulsand,0.1
wither_skeleton=skeleton+netherrack,0.1
wither=ghast+zombie_villager,0.1
wood=dirt+sand,0.1
zombie_pigman=zombie+nether_wart,0.1
zombie_villager=zombie+villager,0.1
zombie=chicken+sheep,0.1
